vehicle_id,timestamp,latitude,longitude,speed,event_type,braking_event,collision_alert,lane_change
QMG 723,2023-11-20 20:05:26.880370,75.7704680031548,-175.319359378314,63.78,lane_change,0,0,1
08-68326,2024-06-23 19:31:36.758061,79.1280017195574,-74.76058119030988,16.58,normal,0,0,0
UKW-4868,2024-05-29 23:37:31.772690,19.903744818951182,-49.7772239218782,61.25,lane_change,0,0,1
3D 3214M,2024-04-20 01:55:31.207729,70.36686216918838,-102.94566247662247,101.07,lane_change,0,0,1
8-48571,2024-03-13 16:20:22.297787,10.365462427972048,-147.17042644248468,79.67,normal,0,0,0
IE 09716,2024-08-12 00:55:34.354306,-46.0671276549347,-177.1971050514434,80.4,lane_change,0,0,1
SDK-2550,2024-03-26 19:12:57.390201,-10.429308578203901,1.3843338396861213,37.02,braking,1,0,0
PYJ-7460,2023-10-22 02:44:20.877913,-65.4806215598136,38.13259411495068,12.95,collision,0,1,0
AOA 029,2024-08-04 21:06:12.804590,-65.89613686728697,-41.807693540895855,38.87,braking,1,0,0
62OJ836,2024-03-16 18:24:38.105172,43.59483622192968,-52.130135262766615,115.79,braking,1,0,0
3KI 538,2023-11-22 05:12:17.542929,66.98307398483786,122.04360548603779,85.22,braking,1,0,0
2BN 109,2024-07-03 19:01:14.989350,36.40811764708417,-135.92966512049458,32.39,collision,0,1,0
9-6543S,2023-09-15 02:29:48.683381,75.72399832134144,148.69331337760173,115.41,lane_change,0,0,1
434RI,2024-04-03 22:52:50.950252,83.89025119099983,-37.33012823415967,29.1,braking,1,0,0
2G127,2024-04-12 08:59:26.723336,45.424940660479564,42.89232337122178,86.2,collision,0,1,0
113 VDQ,2024-05-14 19:16:31.374237,61.85352928583413,-132.24387385292027,24.16,lane_change,0,0,1
8BT B79,2024-02-02 18:53:07.441315,28.194950224640223,-13.655588032385197,61.04,braking,1,0,0
TV 4245,2023-12-17 03:27:25.886863,48.560647777849255,0.8984418647720531,62.0,braking,1,0,0
XY-4534,2023-10-14 20:43:41.429936,14.506215231171552,129.66964636694956,2.32,lane_change,0,0,1
3S 6S6NZA,2023-09-20 16:37:22.848669,-45.320329466015885,45.249332091760635,59.66,lane_change,0,0,1
CRY-581,2023-11-17 06:36:13.937385,-27.857943206530223,-118.46582293063148,45.29,collision,0,1,0
H06 1PI,2023-11-15 09:09:54.217161,-60.18293617297602,111.10851572026763,5.1,collision,0,1,0
1V 4N0XFA,2023-09-19 03:28:54.321333,-85.6604442134713,65.14046708916146,71.62,braking,1,0,0
83-1956P,2024-07-02 19:14:47.916417,85.61750015873031,-46.32692300393498,87.22,normal,0,0,0
HST-286,2024-09-11 23:38:34.271129,-87.97623028841885,30.504213369137517,5.76,lane_change,0,0,1
6F 4001E,2024-04-20 13:03:12.722097,-21.018443862299918,-144.337920717315,115.3,braking,1,0,0
KD-5727,2023-11-18 00:50:00.267715,44.22800634725499,27.538818986328266,46.67,braking,1,0,0
086ZNE,2024-09-07 20:11:22.169368,14.20685951077158,-115.98996575401507,59.13,normal,0,0,0
535 ALA,2024-06-26 20:25:48.857589,46.95104516020206,-147.86417743054253,63.24,braking,1,0,0
203-CBD,2024-03-05 05:09:40.248965,-70.72552373815405,-151.83431935669864,90.12,normal,0,0,0
0E253,2024-06-21 03:05:08.892379,27.717777987131697,96.77278453946701,110.69,normal,0,0,0
1C451,2024-04-18 07:32:15.476842,64.6497746172983,9.112962097578304,11.15,braking,1,0,0
92-95903,2024-03-06 03:50:21.307671,-69.98202388219758,-4.0243935902293515,61.04,lane_change,0,0,1
327-VRT,2024-08-21 17:46:03.123420,22.115638583557867,-79.13332157322044,64.82,collision,0,1,0
MEC-2039,2024-01-14 19:24:09.524148,-76.06701352809125,-29.84266164260808,4.35,normal,0,0,0
UDM3422,2024-05-09 17:22:57.670689,-44.11780392218373,157.34619451036207,3.48,braking,1,0,0
151 UCE,2024-09-04 04:08:30.704806,-25.71082480727489,52.96544205376102,55.62,braking,1,0,0
RDG3762,2024-09-03 07:46:00.601064,-9.98637211992478,-7.982380762813506,21.81,lane_change,0,0,1
LMT 456,2023-12-28 12:22:36.889570,-42.20814426686397,-94.16807060549634,36.47,collision,0,1,0
894 6911,2024-03-03 20:42:37.482465,-56.750569313204736,74.17154981840733,97.65,normal,0,0,0
533 NSC,2023-12-14 17:51:33.479015,75.6365307340015,79.90206484677202,19.42,lane_change,0,0,1
MAB1265,2024-05-04 21:51:22.483889,49.875068331507265,75.38262138947172,46.72,braking,1,0,0
GME-194,2024-04-17 17:59:24.172988,-53.69565221805967,-80.3322664711587,44.52,normal,0,0,0
963V,2024-07-30 06:29:13.554549,67.64979424222761,80.14640725761927,105.97,braking,1,0,0
N75 0MV,2024-04-08 10:40:14.200594,-75.41294056061871,-31.31813229999429,94.13,braking,1,0,0
STF 7234,2024-08-28 02:04:41.385001,-14.22685250989744,-146.77983830609656,36.57,braking,1,0,0
0PPU990,2024-05-22 18:47:05.343215,58.289716800142656,100.76664862621067,96.49,normal,0,0,0
T14-80U,2024-05-17 18:37:58.851336,-0.019200019598031304,-21.785650662254113,30.36,lane_change,0,0,1
1846,2024-02-24 21:52:21.296767,18.04233130671298,142.77472844565887,61.46,collision,0,1,0
4F X6872,2024-08-20 00:32:06.620736,-81.15708951080694,20.050197810050918,1.33,braking,1,0,0
563-PGW,2024-05-28 10:02:54.959957,-23.726320145496544,-44.835530665614414,102.39,collision,0,1,0
QPU8400,2024-07-22 20:12:03.245835,14.546986702847931,-171.15713495220487,30.87,lane_change,0,0,1
0HF5713,2023-09-28 00:48:24.869368,63.752434376759226,-113.64435025309103,58.91,lane_change,0,0,1
386 CIK,2023-09-19 16:46:46.223893,-89.37336391398979,9.520340449349021,93.66,normal,0,0,0
025-NZY,2024-01-09 13:28:41.646237,80.05940196125056,125.51523506642417,63.15,collision,0,1,0
4K711,2024-03-01 17:22:51.273632,-31.068261793519476,3.5443052443111753,59.13,collision,0,1,0
333 DFW,2023-12-07 00:23:02.692303,37.74014236891162,23.353999885391545,68.62,lane_change,0,0,1
HNL 307,2024-04-29 16:56:03.220129,73.25651549519841,-135.20962475783614,107.26,collision,0,1,0
6LIN 78,2024-05-11 13:27:26.833085,-28.881063970489585,-85.49053273420182,12.0,braking,1,0,0
4BPZ519,2024-04-29 10:02:42.294044,60.32438996967372,40.33265653405064,108.32,lane_change,0,0,1
165 BZI,2024-02-03 01:58:19.200367,57.011087680220584,-154.02426531538734,30.44,normal,0,0,0
698 OPE,2024-04-01 13:52:48.623093,-89.06204182308846,-157.77751157675135,113.11,lane_change,0,0,1
67DF4,2024-06-17 15:33:47.075488,-33.60495023736538,71.4228460397772,50.66,normal,0,0,0
KCI-546,2024-02-18 11:24:53.624262,30.864886099171954,-174.14659552696108,34.51,normal,0,0,0
31U B41,2024-03-29 09:59:26.555006,-4.800505711422431,-64.28908839091682,107.33,lane_change,0,0,1
RAH 460,2024-06-17 10:32:13.368679,62.825415197604116,-0.5333971753268543,15.66,collision,0,1,0
XYH 033,2023-12-07 22:06:47.566451,-13.6462098464811,-23.561288003511407,5.15,normal,0,0,0
4968,2024-02-04 15:05:39.143246,-8.210242090619758,-5.518227218452552,50.8,lane_change,0,0,1
MKC 7908,2023-11-27 09:08:31.146790,-51.79600065913045,106.81934596712802,19.38,normal,0,0,0
33F•199,2023-11-11 00:34:10.103238,87.97957131240443,167.8835597513767,59.91,collision,0,1,0
609-USC,2023-10-07 21:52:29.781911,-37.918051515213705,-153.04017575978983,31.95,normal,0,0,0
RDB 855,2023-12-22 02:22:07.922197,2.5901053275305514,172.03960791959634,64.87,collision,0,1,0
379-XNP,2024-06-12 12:23:26.818522,-46.657784264595094,24.53219043000692,103.29,lane_change,0,0,1
0V771,2024-06-09 05:39:04.596291,84.66095763779154,152.72412197002302,67.07,normal,0,0,0
207BWG,2024-08-08 05:35:05.148289,-64.65234136175383,-91.86639149887512,18.2,normal,0,0,0
DIK-5994,2024-06-25 19:25:24.936624,-69.58813059576948,124.54963241382029,90.43,collision,0,1,0
045 TUX,2024-07-05 15:15:22.002748,8.009374593273435,56.463610377313245,34.61,braking,1,0,0
489-BTG,2024-03-30 10:20:39.417738,12.316733930532564,-61.9405722823431,69.88,collision,0,1,0
EEO-4700,2024-05-16 04:31:56.722033,83.6985595735348,134.2455548426389,50.65,lane_change,0,0,1
AD 0904,2024-02-28 16:57:40.135498,-63.45121482668611,89.29793080144924,75.13,lane_change,0,0,1
03F 782,2024-03-25 00:01:30.938525,24.148713873703358,-35.530357453291316,88.48,braking,1,0,0
974XU,2023-10-29 10:58:47.101797,-67.24731164055027,56.459385029118664,54.31,braking,1,0,0
GGA3139,2023-09-14 17:33:37.751582,18.31325009382016,-173.72605956172322,27.58,lane_change,0,0,1
TYM-227,2023-11-27 12:39:06.907950,-39.55099911198801,134.97673478136971,49.38,braking,1,0,0
961 4332,2023-11-13 03:10:27.332620,-50.69476151669711,-14.670606832729277,81.53,braking,1,0,0
NCE 475,2024-05-26 02:24:56.206893,-10.125048175782183,-54.51152555630787,71.63,collision,0,1,0
MYG 207,2024-06-29 12:57:47.998328,74.39934056295434,-129.4146065002614,11.35,braking,1,0,0
643 6VS,2024-06-15 23:54:43.958247,88.97228112752427,-19.577200538651994,107.17,collision,0,1,0
SCW-167,2024-03-10 07:07:15.150455,-70.55597720658626,84.33744670522634,85.57,normal,0,0,0
5S M4816,2023-10-02 05:59:02.314006,10.502622714428199,-83.35189768560294,37.18,lane_change,0,0,1
PYQ F79,2024-07-01 09:11:28.781116,-26.92455810953154,-58.75613588940732,46.45,normal,0,0,0
DPL 767,2024-02-10 22:56:03.835767,-72.51144591354254,83.55930788072715,81.76,collision,0,1,0
NZB-2742,2024-05-31 22:57:21.898954,-74.85835444643799,-94.51807644335962,55.04,braking,1,0,0
100 7VK,2024-06-21 17:57:31.528518,2.8587007598756884,158.19482485956905,96.36,lane_change,0,0,1
RUM 662,2023-10-05 13:20:20.884845,16.5018806690328,-135.26740748600753,94.12,collision,0,1,0
1T641,2024-05-05 02:42:16.091206,39.003689803149086,159.68042108895514,56.75,lane_change,0,0,1
7VP 093,2024-08-19 08:55:11.131480,-55.40036801389584,-28.367288794888708,50.97,collision,0,1,0
949276,2023-09-22 01:23:44.962247,-0.08415010072562268,48.42086521450068,90.95,braking,1,0,0
QRI-599,2024-06-03 04:36:00.192500,-2.1498867379391413,67.61979999322608,112.57,collision,0,1,0
159 FA7,2023-12-17 18:22:02.780496,83.36796565348192,-38.63208345898357,17.31,normal,0,0,0
589P5,2023-09-21 06:48:40.456821,-19.90968814062377,-116.51977949107356,85.0,lane_change,0,0,1
MBB-773,2023-10-20 23:33:35.011508,-11.609162091976117,-41.06134258598658,117.51,collision,0,1,0
2254,2024-07-22 08:28:03.329126,47.63378560558891,-177.37297913940247,60.82,collision,0,1,0
E76-CAX,2024-03-26 07:00:42.975330,-32.54532998100947,108.01666035010714,14.49,collision,0,1,0
R41 7LW,2024-03-10 23:04:04.520200,79.95611740309059,106.07670637406011,27.07,collision,0,1,0
1409 OV,2024-06-05 00:09:28.828260,-38.573983884789804,16.59552590514548,53.69,collision,0,1,0
319-KMR,2023-11-21 14:31:41.436403,-73.55506522729614,138.70296304296699,86.24,lane_change,0,0,1
2MJ H10,2024-07-08 14:02:41.104512,29.503763775616164,169.23586335690334,90.92,braking,1,0,0
340-DBP,2024-06-22 07:19:04.576715,-86.15010226310376,-128.40896425154392,77.41,lane_change,0,0,1
60J Y17,2024-07-14 01:13:06.045258,88.36104262134032,170.78672018013185,28.13,lane_change,0,0,1
LLM 379,2024-07-25 09:31:37.698709,4.2279786825096295,13.524719155931479,83.6,braking,1,0,0
052 LT8,2024-09-01 11:45:18.437423,73.17731010872257,104.79218058205629,58.62,braking,1,0,0
DPI8739,2023-12-18 21:15:24.547576,-25.030610721307553,-4.90675672231302,68.61,braking,1,0,0
KNK 356,2024-07-04 20:49:01.462798,47.72979484585716,118.93477518567835,97.73,normal,0,0,0
9768,2024-03-02 17:13:53.301671,40.75816305408017,169.8462193231901,31.07,lane_change,0,0,1
9-7795W,2024-05-23 02:46:06.174646,-29.11228960477098,-82.65965608964612,32.5,collision,0,1,0
NU 00999,2024-05-18 22:23:45.648916,-26.982371970346392,-36.814300484620844,113.03,collision,0,1,0
640-PHHC,2024-04-06 06:51:42.918915,64.69551591582857,-98.37148978249425,66.0,braking,1,0,0
BJH-786,2024-06-06 19:49:18.735634,-20.39611688842149,-123.20448519463568,39.34,lane_change,0,0,1
LEI-790,2024-01-29 13:47:11.381911,67.5433402996677,12.622570125665504,95.68,braking,1,0,0
3199 QA,2024-03-21 21:22:31.242306,-34.55398678914374,27.632109665807775,51.79,braking,1,0,0
5-I8370,2024-06-18 00:07:10.412899,36.32778665138015,-141.42667189446868,112.61,normal,0,0,0
